

-- Schedd: bird-htc-sched13.desy.de : <131.169.223.41:9618?... @ 05/11/21 21:15:27
 ID      OWNER          HELD_SINCE  HOLD_REASON

Total for query: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for anstein: 0 jobs; 0 completed, 0 removed, 0 idle, 0 running, 0 held, 0 suspended 
Total for all users: 4117 jobs; 0 completed, 2 removed, 2898 idle, 925 running, 292 held, 0 suspended



-- Schedd: bird-htc-sched14.desy.de : <131.169.223.42:9618?... @ 05/11/21 21:15:27
 ID           OWNER          HELD_SINCE  HOLD_REASON
20343691.2450 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.2611 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.2659 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.2693 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.2704 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.3708 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.3782 anstein         5/11 20:54 The job attribute OnExitHold expression '(ExitBySignal == true) || (ExitCode != 0)' evaluated to TRUE
20343691.4028 anstein         5/11 20:58 Error from slot2_23@batch1190.desy.de: STARTER at 131.169.160.196 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4028.out: (errno 27) File too large
20343691.4301 anstein         5/11 20:57 Error from slot2_1@batch1173.desy.de: STARTER at 131.169.160.171 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4301.out: (errno 27) File too large
20343691.4355 anstein         5/11 20:59 Error from slot2_31@batch1182.desy.de: STARTER at 131.169.160.180 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.4355.out: (errno 27) File too large
20343691.5206 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5239 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5296 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5326 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5339 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5387 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5528 anstein         5/11 20:59 Error from slot2_26@batch1072.desy.de: STARTER at 131.169.160.111 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5528.out: (errno 27) File too large
20343691.5586 anstein         5/11 21:04 Error from slot2_8@bird633.desy.de: STARTER at 131.169.77.153 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5586.out: (errno 27) File too large
20343691.5591 anstein         5/11 21:06 Error from slot2_5@bird823.desy.de: STARTER at 131.169.164.23 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5591.out: (errno 27) File too large
20343691.5592 anstein         5/11 21:09 Error from slot2_28@batch1061.desy.de: STARTER at 131.169.160.161 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5592.out: (errno 27) File too large
20343691.5675 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5703 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5729 anstein         5/11 21:09 Error from slot2_26@batch1059.desy.de: STARTER at 131.169.160.159 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.5729.out: (errno 2) No such file or directory
20343691.5883 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5890 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5899 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5910 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5949 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.5985 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6036 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6045 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6049 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6052 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6057 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6058 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6063 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6071 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6074 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6078 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6133 anstein         5/11 20:55 The job attribute OnExitHold expression '(ExitBySignal == true) || (ExitCode != 0)' evaluated to TRUE
20343691.6260 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6262 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6288 anstein         5/11 21:07 Error from slot2_36@batch1070.desy.de: STARTER at 131.169.160.170 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.6288.out: (errno 27) File too large
20343691.6350 anstein         5/11 21:03 Error from slot2_27@batch1072.desy.de: STARTER at 131.169.160.111 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.6350.out: (errno 27) File too large
20343691.6357 anstein         5/11 21:09 Error from slot2_14@batch1070.desy.de: STARTER at 131.169.160.170 failed to send file(s) to <131.169.223.42:9618>; SHADOW at 131.169.223.42 failed to write to file /afs/desy.de/user/a/anstein/private/aisafety/SF/VHcc-cTagSF/Analyzer/condorDESY/condor/log-20343691.6357.out: (errno 2) No such file or directory
20343691.6388 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6403 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6428 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
20343691.6437 anstein         5/11 20:53 Memory usage too high (> 3 x requested-memory)
